店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
かに食べ放題どきどき水産 阪神尼崎店,080-5788-7025,,兵庫県,尼崎市,東難波町5-17-3,,http://www.dokidokisuisan.com/,False
焼肉 食べ放題 まんぷく食堂 肉のフジイチ,050-5485-9119,,愛知県,小牧市,二重堀字中池250-1,,https://naz5201.gorp.jp/,True
焼肉・食べ放題・飲み放題かわよし 栄錦本店,050-5485-5622,,愛知県,名古屋市,中区錦3-1-6,,https://n112200.gorp.jp/,True
かに食べ放題どきどき水産 阪急塚口店,050-5486-3951,,兵庫県,尼崎市,南塚口町1-3-18,,https://kctu200.gorp.jp/,True
焼肉食べ放題焼肉道楽‐Doraku‐ 新宿店,050-5488-3552,,東京都,新宿区,歌舞伎町1-27-2,,https://ggu7401.gorp.jp/,True
餃子食べ放題餃子酒場0038 大宮店,048-658-9191,,埼玉県,さいたま市,大宮区大門町1-71-1,,https://gezw906.gorp.jp/,True
ガチ中華×食べ放題上海邨（シャンハイムラ）,050-5494-8069,,宮城県,仙台市,青葉区国分町2-9-16,,https://ta63100.gorp.jp/,True
焼肉 食べ放題火ノ丸  ‐Hinomaru‐ 新宿歌舞伎町店,050-5494-4097,,東京都,新宿区,歌舞伎町1-6-6,,https://ggu7402.gorp.jp/,True
点心・中華食べ放題 桃菜 足立入谷店,050-5492-8366,,東京都,足立区,入谷5-16-18,,https://gjgu700.gorp.jp/,True
【食べ放題＆飲み放題】你好（ニーハオ）熱烈酒場　吉祥寺店,050-5493-8810,,東京都,武蔵野市,吉祥寺本町1-8-10,,https://ggvr701.gorp.jp/,True
食べ放題＆焼き鳥 個室バル 鳥物語 上野店,050-5493-5363,,東京都,台東区,上野6-9-11,,https://ghk6507.gorp.jp/,True
中華×食べ放題 上海縁 鶴見本店,050-5486-9318,,神奈川県,横浜市,鶴見区豊岡町17-9,,https://tsurumi-shanhaien.gorp.jp/,True
生ハム食べ放題アンゴロ 四日市店,050-5486-1953,,三重県,,で初！金・土曜日以外の２０,,https://nba7100.gorp.jp/,True
幸せの焼肉食べ放題かみむら牧場 京急蒲田第一京浜側道店,050-2017-3275,,東京都,大田区,南蒲田2-15-22,,,False
焼肉食べ放題 牛繁 上野広小路,050-5489-2468,,東京都,台東区,上野4-4-5,,https://gdp0408.gorp.jp/,True
北京ダック食べ放題 完全個室 福招門【フクショウモン】小岩店,050-5486-0440,,東京都,江戸川区,西小岩1-27-6,,https://gdpy600.gorp.jp/,True
食べ飲み放題 焼肉ダイニング ちからや 名駅店,050-5484-5414,,愛知県,名古屋市,中村区名駅3-15-8,,https://n989700.gorp.jp/,True
本格中華食べ放題中国料理 青島飯店 すすきの店,050-5492-0842,,北海道,札幌市,中央区南4,,https://ha58101.gorp.jp/,True
しゃぶしゃぶ食べ放題但馬屋 姫路フェスタ店,050-5489-1251,,兵庫県,姫路市,駅前町363-1,,https://g234238.gorp.jp/,True
牛タン・和牛食べ放題焼肉 牛道 西口2号店,050-5487-5684,,東京都,豊島区,池袋2-8-5,,https://gg9j300.gorp.jp/,True
シュラスコ食べ放題×飲み放題アジアティーク 立川店,050-5487-7978,,東京都,立川市,曙町2-11-2,,https://ggez500.gorp.jp/,True
焼肉 食べ放題 じゅじゅ庵 東三国店,050-5493-8472,,大阪府,大阪市,淀川区東三国4-11-4,,https://k480004.gorp.jp/,True
おいしい中華屋 食べ放題＆飲み放題大福楼 御徒町店,050-5488-4754,,東京都,台東区,上野3-17-7,,https://e585503.gorp.jp/,True
100品食べ放題飲み放題ルナビアンカ,050-5488-0925,,愛知県,名古屋市,中区大須4-11-39,,https://nc9e800.gorp.jp/,True
焼肉食べ放題 力丸 梅田お初天神店,050-5487-3171,,大阪府,大阪市,北区曾根崎2-8-9,,http://www.handafood.jp/,False
夜景完全個室＆食べ放題居酒屋 焼き鳥ギャング 立川本店,050-5488-1488,,東京都,立川市,曙町2-11-7,,https://gjex700.gorp.jp/,True
サムギョプサル食べ放題ヤンニョムチキン 韓国料理クッパ,050-5493-2656,,大阪府,大阪市,旭区千林2-1-15,,https://ke9d300.gorp.jp/,True
サムギョプサル食べ放題漢拏 －ハンナ－ 府中店,050-5486-7936,,東京都,府中市,府中町2-2-4,,https://hanna.gorp.jp/,True
寿司食べ放題 すし玉 横浜店,050-5486-1291,,神奈川県,横浜市,西区高島2-16,,http://www.tamasushi.co.jp/%20,False
