店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
【完全個室居酒屋】海鮮とおでん食べ飲み放題 隠れ座 池袋店,080-6558-0706,,東京都,豊島区,西池袋3-29-4,,https://gjj2101.gorp.jp/,True
京ろまん横丁,050-5484-4311,,京都府,京都市,南区東九条上殿田町13,,https://ka50100.gorp.jp/,True
【完全個室居酒屋】海鮮とおでん 食べ飲み放題 隠れ座 新宿店,080-6652-2323,,東京都,新宿区,歌舞伎町1-23-10,,https://gjj2102.gorp.jp/,True
軍鶏焼き酒場 花ちょうちん天五店,06-7777-7147,,大阪府,大阪市,北区天神橋5-2-1,,https://keku401.gorp.jp/,True
はちじょう 島の風,050-5493-7531,,東京都,江東区,門前仲町1-12-8,,https://gjp6600.gorp.jp/,True
がぶ飲み 蕎麦横丁 参（さん）,0566-55-2234,,愛知県,刈谷市,桜町1-51-1,,https://nazf216.gorp.jp/,True
お店の取り組み5/14件実施中（2025/10/06更新）,050-5487-8171,,埼玉県,川越市,脇田町12-19,,https://gjpe700.gorp.jp/,True
個室居酒屋 海鮮・地鶏・炭火焼鳥・創作和食 木村菴 本厚木店,050-5486-6939,,神奈川県,厚木市,中町4-14-6,,https://gj8b006.gorp.jp/,True
SAINUU氷煮羊炉 上野店,050-5485-6605,,東京都,台東区,上野2-12-23,,https://gjpg000.gorp.jp/,True
月島もんじゃ三九 難波店,070-8430-0361,,大阪府,大阪市,中央区難波3-1-22,,https://twitter.com/monja_sankyu2,True
絶品餃子酒場,050-5494-7605,,神奈川県,川崎市,多摩区登戸2567,,https://gjph800.gorp.jp/,True
本ズワイ蟹 食べ放題 かにざんまい 溝の口店,080-4167-7344,,神奈川県,川崎市,高津区溝口1-9-5,,https://g400185.gorp.jp/,True
個室海鮮浜焼き居酒屋 蔵六 掛川店,050-5494-6029,,静岡県,掛川市,紺屋町6-1,,https://ncbj201.gorp.jp/,True
Beer Pong BAR GROVE立川北口店,042-512-7072,,東京都,立川市,曙町2-10-10,,https://ggar933.gorp.jp/,True
焼肉ホルモン 福たろふ,050-5494-6024,,宮城県,仙台市,青葉区本町2-19-5,,https://ta90202.gorp.jp/,True
地鶏と沖縄琉球しゃぶしゃぶ 個室居酒屋 くろ凪 長野店,050-5486-9733,,長野県,長野市,大字南長野南石堂町1971,,https://ncbg400.gorp.jp/,True
個室居酒屋 団欒‐danran‐ 安城駅前店,050-5484-9507,,愛知県,安城市,御幸本町2-10,,https://ncbk200.gorp.jp/,True
恵比寿もんじゃ・鉄板焼｜すずめの御宿,050-5485-7650,,東京都,渋谷区,恵比寿南2-7-8,,https://gjph900.gorp.jp/,True
バルスモーク寿燻工房,050-5484-3751,,東京都,台東区,寿4-6-1,,https://gjpe100.gorp.jp/,True
新宿かっぱ,050-5493-0459,,東京都,新宿区,歌舞伎町1-17-13,,https://gjpf800.gorp.jp/,True
神戸牛鉄板焼き 火鉢 京都駅前店,050-5488-7002,,京都府,京都市,下京区東塩小路町738,,https://kepr200.gorp.jp/,True
春夏秋冬,093-967-1518,,福岡県,北九州市,小倉北区鍛冶町1-5-13,,https://fc4r700.gorp.jp/,True
サカナトメシ,050-5485-0667,,鹿児島県,鹿児島市,樋之口町2-8,,https://fc4r800.gorp.jp/,True
REALLY GOOD TACOS,050-5488-5432,,福岡県,福岡市,中央区春吉5-7,,https://fc3n101.gorp.jp/,True
シュラスコレストラン Esta Rico,050-5489-4122,,千葉県,木更津市,富士見3-1-1,,https://gjpg400.gorp.jp/,True
京都鮨一,050-5493-7061,,京都府,京都市,下京区西中筋通花屋町下ル堺町94,,https://kept400.gorp.jp/,True
焼き鳥バル TORITETSU 高岡駅前店,050-5492-4086,,富山県,高岡市,下関町6-1,,https://gaed871.gorp.jp/,True
コネクト,080-2894-8850,,新潟県,新潟市,東区はなみずき2-9-31,,https://ra10000.gorp.jp/,True
とり鉄 富山駅前店,050-5488-6405,,富山県,富山市,桜町2-1-13,,http://www.tori-tetsu.com/,False
シュラスコレストランビア＆バイキング ALEGRIA kashiwa,050-5487-3887,,千葉県,柏市,柏3-6-21,,https://gfhp702.gorp.jp/,True
お役立ちコラム,,,北海道,・東北北海道北海道北海道全て札幌駅札幌大通・狸小路札幌青森県青森県青森県全て秋田県秋田県秋田県全て山形県山形県山形県全て岩手県岩手県岩手県全て宮城県宮城県宮城県全て仙台福島県福島県福島県全て福島市,関東東京都東京都東京都全て銀座有楽町・日比谷新橋虎ノ門浜松町・大門田町・三田赤坂六本木飯田橋神楽坂市ヶ谷新宿高田馬場渋谷原宿池袋丸の内東京駅（八重洲）日本橋上野御徒町浅草神田秋葉原御茶ノ水神保町水道橋品川五反田大崎恵比寿中野錦糸町・住吉人形町・小伝馬町八丁堀門前仲町赤羽大井町蒲田府中町田立川神奈川県神奈川県神奈川県全て溝の口横浜駅みなとみらい桜木町関内・馬車道横浜中華街川崎鶴見武蔵小杉・元住吉新横浜上大岡・弘明寺大船藤沢辻堂橋本・相模原・古淵本厚木・厚木小田原・南足柄千葉県千葉県千葉県全て柏木更津千葉駅海浜幕張本八幡船橋埼玉県埼玉県埼玉県全て朝霞川越所沢大宮草加熊谷浦和群馬県群馬県群馬県全て高崎栃木県栃木県栃木県全て小山宇都宮茨城県茨城県茨城県全て守谷つくば水戸北陸新潟県新潟県新潟県全て新潟市中央区石川県石川県石川県全て金沢福井県福井県福井県全て富山県富山県富山県全て中部愛知県愛知県愛知県全て名駅大曽根一宮金山岡崎刈谷豊橋栄豊田三重県三重県三重県全て四日市岐阜県岐阜県岐阜県全て静岡県静岡県静岡県全て山梨県山梨県山梨県全て長野県長野県長野県全て関西大阪府大阪府大阪府全て茶屋町・中崎町梅田大阪駅北新地東通り・堂山東梅田・お初天神・太融寺淀屋橋本町・堺筋本町八尾なんば（難波）（大阪）京橋天王寺・阿倍野新大阪駅江坂心斎橋松原・藤井寺・河内長野京都府京都府京都府全て四条烏丸寺町木屋町・先斗町京都駅兵庫県兵庫県兵庫県全て三宮姫路滋賀県滋賀県滋賀県全て草津近江八幡奈良県奈良県奈良県全て橿原奈良市和歌山県和歌山県和歌山県全て和歌山市中国広島県広島県広島県全て広島市岡山県岡山県岡山県全て岡山市倉敷山口県山口県山口県全て島根県島根県島根県全て鳥取県鳥取県鳥取県全て四国徳島県徳島県徳島県全て香川県香川県香川県全て高松愛媛県愛媛県愛媛県全て松山高知県高知県高知県全て九州・沖縄福岡県福岡県福岡県全て天神薬院小倉北区中洲西中洲博多佐賀県佐賀県佐賀県全て佐賀市長崎県長崎県長崎県全て熊本県熊本県熊本県全て熊本市大分県大分県大分県全て宮崎県宮崎県宮崎県全て鹿児島県鹿児島県鹿児島県全て鹿児島市沖縄県沖縄県沖縄県全て那覇お役立ちコラム【飲み会が苦手なあなたに贈る】飲み会を乗り切る5,,,False
中華個室居酒屋 家宴（KAEN）上野店,050-5485-1305,,東京都,台東区,東上野2-20-6,,https://kaenueno.gorp.jp/,True
活イカともつ鍋 芋 中洲店,050-5486-8609,,福岡県,福岡市,博多区中洲4-2-5,,https://fbe2900.gorp.jp/,True
浜松町キッチン ‐HAMAMATSUCHO KITCHEN‐,050-2018-8784,,東京都,港区,浜松町1-30-11,,https://kitchen.dkdining.com/hamamatsucho/,True
肉ト串 大衆酒場 一番手 梅田お初天神店,050-5493-0463,,大阪府,大阪市,北区曽根崎2-11-20,,https://kd3h046.gorp.jp/,True
完全個室居酒屋 和禅 新宿西口店,050-5488-8119,,東京都,新宿区,西新宿1-4-15,,https://gg8s413.gorp.jp/,True
全席個室 楽蔵うたげ 京都駅前店,050-2018-8983,,京都府,京都市,下京区東洞院通七条下ル二丁目東塩小路町730,,http://rakuzo.dkdining.com/kyoto/,False
糸島直送の食 博多居酒屋 どげん海,050-1809-1324,,福岡県,福岡市,博多区博多駅東2-2-10,,,False
個室で味わう彩り和食 和が家東京駅八重洲店,050-5489-3922,,東京都,中央区,八重洲1-5-11,,https://gd32304.gorp.jp/,True
網焼き囲炉裏と土鍋 個室居酒屋 囲炉鶏 川越駅前店,050-5489-4903,,埼玉県,川越市,脇田町11-3,,https://gj68200.gorp.jp/,True
個室居酒屋 焼鳥 海鮮寿司 黒豚餃子夢やぐら 梅田本店,050-5485-7189,,大阪府,大阪市,北区曾根崎2-8-7,,https://ked0400.gorp.jp/,True
鉄なべ餃子と焼きとり 大衆酒場みのる,050-5493-8241,,滋賀県,草津市,大路1-15-36,,https://keag600.gorp.jp/,True
個室 肴と地酒 ４５６酒場 新橋店,050-5488-5528,,東京都,港区,新橋3-23-1,,https://ggxm420.gorp.jp/,True
全席個室 湊一や 京都駅前店,050-2018-8985,,京都府,京都市,下京区塩小路通東洞院西入ル東塩小路町544-3,,https://minatoichiya.dkdining.com/nihonbashi/,True
しゃぶしゃぶ・すきやき雅庵 トアロード店,078-958-9091,,兵庫県,神戸市,中央区下山手通2-13-3,,https://kabm505.gorp.jp/,True
個室居酒屋鳥道酒場（とりみちさかば） 上野本店,050-5486-9333,,東京都,台東区,上野6-13-5,,https://torimichiueno.gorp.jp/,True
全席個室 じぶんどき 品川港南口店,050-2018-8872,,東京都,港区,港南2-5-14,,https://jibundoki.dkdining.com/shinagawa/,True
本格中華食べ飲み放題税込4380円王府家宴 大森駅前店,050-5488-2242,,東京都,大田区,大森北1-35-9,,https://ggrn300.gorp.jp/,True
天ぷら 海鮮 個室居酒屋 天海 刈谷駅前店,050-5494-6897,,愛知県,刈谷市,相生町2-10-5,,https://n169666.gorp.jp/,True
全席個室 京町しずく 京都駅前店,050-2018-8982,,京都府,京都市,下京区東洞院通七条下ル二丁目東塩小路町730,,http://kyomachi.dkdining.com/kyoto/,False
